,"Blank cells indicate insufficient sample size for reliable estimation. Green highlights for 2024 vote shares indicate statistically significant change from 2020. Furthermore, we revised the weighting of the 2020 data and some estimates may be slightly different from those previously published. Refer to report methodology for more details.",,,,,,,,,,,,,,,,,,,,Composition of the electorate,,,,,Composition of the Democratic and Republican electorates,,,,,,,,,,Composition of all voters and nonvoters,,,,,,,,,,,,
,2024 Harris vote (official result 48%),2024 Trump vote (official result 50%),2024 margin (Harris-Trump),2022 Democratic House vote (official result 48%),2022 Republican House vote (official result 51%),2022 margin (Dem-Rep),2020 Biden vote (official result 51%),2020 Trump vote (official result 47%),2020 margin (Biden-Trump),2018 Democratic House vote (official result 53%),2018 Republican House vote (official result 44%),2018 margin (Dem-Rep),2016 Clinton vote (official result 48%),2016 Trump vote (official result 46%),2016 margin (Clinton-Trump),2024 Vote choice margin of error (+/- at 95% CI),2022 Vote choice margin of error (+/- at 95% CI),2020 Vote choice margin of error (+/- at 95% CI),2018 Vote choice margin of error (+/- at 95% CI),2016 Vote choice margin of error (+/- at 95% CI),Group as a share of all 2024 voters,Group as a share of all 2022 voters,Group as a share of all 2020 voters,Group as a share of all 2018 voters,Group as a share of all 2016 voters,Group as a share of 2024 Trump voters,Group as a share of 2024 Harris voters,Group as a share of 2022 Republican voters,Group as a share of 2022 Democratic voters,Group as a share of 2020 Trump voters,Group as a share of 2020 Biden voters,Group as a share of 2018 Republican voters,Group as a share of 2018 Democratic voters,Group as a share of 2016 Trump voters,Group as a share of 2016 Clinton voters,Group as a share of all 2024 voters,Group as a share of all 2024 nonvoters,Group as a share of all 2022 voters,Group as a share of all 2022 nonvoters,Group as a share of all 2020 voters,Group as a share of all 2020 nonvoters,Group as a share of all 2018 voters,Group as a share of all 2018 nonvoters,Group as a share of all 2016 voters,Group as a share of all 2016 nonvoters,,rep_20_24,dem_20_24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not married,55,43,12,59,39,20,60,38,22,64,33,31,58,34,24,2.5,2.6,2.7,2.5,5,42,38,43,42,48,36,48,30,47,35,50,31,50,36,57,42,64,38,58,43,62,42,62,48,64,,2.724018828,2.704419238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender and marital status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Men, married",40,58,-18,37,61,-24,44,54,-10,43,55,-12,32,62,-30,2.6,2.7,3,2.9,5.6,29,32,29,30,27,34,25,39,25,33,24,38,24,36,18,29,16,32,18,29,17,30,16,27,17,,2.00059045,2.011553496
"Men, not married",47,50,-3,57,41,16,54,43,11,61,36,25,54,39,15,4.1,4.6,4.7,4,7.9,19,17,19,19,19,19,19,14,20,17,20,15,21,17,21,19,29,17,26,19,27,19,28,19,34,,2.228005958,2.221306557
"Women, married",47,52,-5,45,54,-9,46,53,-7,50,48,2,47,48,-1,2.5,2.5,2.7,2.7,6,28,28,28,28,26,29,27,30,26,31,25,31,26,27,25,28,20,28,22,28,20,28,22,26,20,,0.542901651,0.543564753
"Women, not married",60,38,22,60,38,22,64,34,30,67,31,36,60,31,29,3,3,3.1,3.2,6.4,22,21,24,23,29,17,27,16,26,17,30,16,28,20,36,22,34,21,30,24,34,23,33,29,30,,1.88463914,1.863493638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age (four-way),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-29,58,39,19,68,31,37,61,35,26,72,23,49,58,28,30,5.2,7.2,6.1,5.1,9.5,15,10,14,11,13,11,18,6,14,11,17,6,15,8,16,15,30,10,27,14,25,11,30,13,33,,1.014325682,0.747297072
30-49,50,48,2,52,45,7,55,43,12,59,38,21,51,40,11,2.6,2.9,2.9,2.7,5.5,29,26,30,30,30,28,30,24,29,27,32,26,33,27,32,29,36,26,37,30,42,30,35,30,33,,2.514044896,2.506434952
50-64,42,56,-14,44,55,-11,46,53,-7,50,48,2,45,51,-6,2.6,2.6,2.8,2.8,6,27,30,28,29,29,31,24,33,28,31,25,32,27,33,27,27,19,30,22,28,21,29,25,29,24,,1.54150107,2.062294327
65+,48,51,-3,42,56,-14,48,52,-4,46,52,-6,44,53,-9,2.4,2.4,2.6,3,6.2,28,34,28,31,27,29,28,37,30,31,26,37,26,32,25,28,15,34,14,28,12,31,10,27,9,,0.557267319,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age (six-way),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,62,36,26,-,-,-,63,32,31,75,21,54,-,-,-,8.7,13.2,9,7.4,15.5,6,3,9,6,6,4,7,1,5,6,10,3,9,4,7,6,14,3,9,9,15,6,18,6,20,,0.664559897,0.162371282
25-29,56,40,16,63,36,27,59,39,20,68,26,42,59,26,33,6.5,8.6,7.4,6.7,11.5,9,6,6,5,7,7,10,5,8,5,7,3,6,4,9,9,17,6,18,6,10,5,12,7,13,,0.203592351,0.604426658
30-39,48,50,-2,57,40,17,56,41,15,63,33,30,52,37,15,4,4.6,4.3,3.8,7.6,14,12,15,14,16,15,14,10,14,13,16,11,17,13,18,14,20,12,21,15,22,14,22,16,18,,3.038730693,2.688917969
40-49,51,46,5,48,50,-2,53,45,8,55,43,12,50,43,7,3.4,3.8,3.9,3.8,7.9,15,14,15,15,14,14,16,14,14,14,15,15,16,14,15,15,16,14,16,15,20,15,14,14,16,,0.376822204,0.751289168
50-64,42,56,-14,44,55,-11,46,53,-7,50,48,2,45,51,-6,2.6,2.6,2.8,2.8,6,27,30,28,29,29,31,24,33,28,31,25,32,27,33,27,27,19,30,22,28,21,29,25,29,24,,1.54150107,2.062294327
65+,48,51,-3,42,56,-14,48,52,-4,46,52,-6,44,53,-9,2.4,2.4,2.6,3,6.2,28,34,28,31,27,29,28,37,30,31,26,37,26,32,25,28,15,34,14,28,12,31,10,27,9,,0.557267319,0
